,distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,date_hour,temp,clouds,pressure,rain,humidity,wind,hour,date,day,product,product_Accessible,product_Basic,product_Lux,product_SUV,product_Sedan,product_Shared,product_XL
3316,2.34,Uber,Back Bay,North End,,1.0,646e2cdf-5908-4b27-9029-ca91c2503203,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-28:18.32.07,41.29,0.99,991.7,,0.64,10.28,18,2018-11-28,Wednesday,,0,0,0,0,0,0,0
827,1.25,Lyft,Theatre District,Haymarket Square,7.0,1.0,7b777e82-1574-41fa-a947-0ec10ae09733,lyft,Lyft,2018-11-29:02.32.08,38.05,0.37,998.28,,0.71,10.79,2,2018-11-29,Thursday,Basic,0,1,0,0,0,0,0
348,3.13,Lyft,Fenway,Theatre District,38.0,1.0,676f7712-4cd1-4a3a-b624-1862a2c252d4,lyft_luxsuv,Lux Black XL,2018-11-29:00.02.07,39.1,0.83,996.08,,0.67,10.75,0,2018-11-29,Thursday,SUV,0,0,0,1,0,0,0
3804,1.23,Lyft,Theatre District,Haymarket Square,13.5,1.0,ed053fba-c7b4-4e4b-807c-9835da1cbc12,lyft_plus,Lyft XL,2018-11-28:17.02.08,41.38,0.92,991.49,,0.63,9.24,17,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
3034,1.8,Uber,Northeastern University,Theatre District,8.5,1.0,61f56a63-30f3-49a8-8c54-72d84b7eda48,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-27:00.43.39,43.66,0.97,1005.88,0.2154,0.92,11.22,0,2018-11-27,Tuesday,Basic,0,1,0,0,0,0,0
3242,2.78,Uber,Northeastern University,North Station,9.0,1.0,5adc7fe2-4efa-4ec7-850d-52823affb00a,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-26:15.35.09,44.4,0.89,1014.21,,0.89,4.99,15,2018-11-26,Monday,Shared,0,0,0,0,0,1,0
2494,0.99,Lyft,Financial District,Haymarket Square,7.0,1.0,d8d68129-9b5c-4a2b-82b8-1ff856450cef,lyft,Lyft,2018-11-26:15.35.09,44.39,0.89,1014.21,,0.89,5.01,15,2018-11-26,Monday,Basic,0,1,0,0,0,0,0
2484,1.46,Lyft,Boston University,Back Bay,3.0,1.0,e80d646b-2db3-4632-86d3-3b0666665e20,lyft_line,Shared,2018-11-29:01.51.40,38.56,0.58,997.64,0.002,0.7,9.88,1,2018-11-29,Thursday,Shared,0,0,0,0,0,1,0
2834,3.37,Uber,Northeastern University,West End,14.0,1.0,07cd2bb2-1fd4-4213-bc8f-d898c202fb55,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:11.06.24,33.21,0.38,990.68,,0.82,6.59,11,2018-11-28,Wednesday,Accessible,1,0,0,0,0,0,0
1993,1.97,Uber,Northeastern University,Beacon Hill,9.5,1.0,b6d54d12-2931-4601-8ac9-e9f6a1bc173a,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:07.34.35,34.83,0.13,991.63,,0.8,6.65,7,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
